Timestamp,Digit,Stake,Outcome,Profit
2025-05-24 15:02:05,5,500,loss,-500
2025-05-24 15:02:05,5,500,loss,-500
2025-05-24 15:02:07,5,500,loss,-500
2025-05-24 15:07:12,9,500,pending,0
2025-05-24 15:07:12,9,500,pending,0
2025-05-24 15:07:13,9,500,pending,0
2025-05-24 15:07:19,9,500,loss,-500
2025-05-24 15:07:19,9,500,loss,-500
2025-05-24 15:07:21,9,500,loss,-500
2025-05-24 15:12:28,4,500,pending,0
2025-05-24 15:12:28,4,500,pending,0
2025-05-24 15:12:29,4,500,pending,0
2025-05-24 15:12:35,4,500,loss,-500
2025-05-24 15:12:35,4,500,loss,-500
2025-05-24 15:12:37,4,500,loss,-500
2025-05-24 15:17:37,2,500,pending,0
2025-05-24 15:17:45,2,500,loss,-500
2025-05-24 15:22:54,7,500,pending,0
2025-05-24 15:22:54,7,500,pending,0
2025-05-24 15:22:55,7,500,pending,0
2025-05-24 15:23:01,7,500,win,3948.05
2025-05-24 15:23:01,7,500,win,3948.05
2025-05-24 15:23:03,7,500,loss,-500
2025-05-24 15:23:04,7,500,pending,0
2025-05-24 15:23:04,7,500,pending,0
2025-05-24 15:23:05,7,500,pending,0
2025-05-24 15:23:11,7,500,loss,-500
2025-05-24 15:23:11,7,500,loss,-500
2025-05-24 15:23:13,7,500,win,3948.05
2025-05-24 15:23:15,7,500,pending,0
2025-05-24 15:23:15,7,500,pending,0
2025-05-24 15:23:16,7,500,pending,0
2025-05-24 15:23:23,7,500,loss,-500
2025-05-24 15:23:23,7,500,loss,-500
2025-05-24 15:23:23,7,500,loss,-500
2025-05-24 15:23:26,5,500,pending,0
2025-05-24 15:23:26,5,500,pending,0
2025-05-24 15:23:27,5,500,pending,0
2025-05-24 15:23:33,5,500,loss,-500
2025-05-24 15:23:33,5,500,loss,-500
2025-05-24 15:23:35,5,500,loss,-500
2025-05-24 15:28:41,5,500,pending,0
2025-05-24 15:28:41,5,500,pending,0
2025-05-24 15:28:42,5,500,pending,0
2025-05-24 15:28:49,5,500,loss,-500
2025-05-24 15:28:49,5,500,loss,-500
2025-05-24 15:28:49,5,500,loss,-500
2025-05-24 15:33:57,2,500,pending,0
2025-05-24 15:33:57,2,500,pending,0
2025-05-24 15:33:58,2,500,pending,0
2025-05-24 15:34:05,2,500,loss,-500
2025-05-24 15:34:05,2,500,loss,-500
2025-05-24 15:34:05,2,500,loss,-500
2025-05-24 15:39:12,3,500,pending,0
2025-05-24 15:39:12,3,500,pending,0
2025-05-24 15:39:13,3,500,pending,0
2025-05-24 15:39:19,3,500,loss,-500
2025-05-24 15:39:19,3,500,loss,-500
2025-05-24 15:39:21,3,500,loss,-500
2025-05-24 15:44:29,7,500,pending,0
2025-05-24 15:44:29,7,500,pending,0
2025-05-24 15:44:30,7,500,pending,0
2025-05-24 15:44:37,7,500,loss,-500
2025-05-24 15:44:37,7,500,loss,-500
2025-05-24 15:44:37,7,500,loss,-500
2025-05-24 15:49:44,3,500,pending,0
2025-05-24 15:49:44,3,500,pending,0
2025-05-24 15:49:45,3,500,pending,0
2025-05-24 15:49:51,3,500,win,3948.05
2025-05-24 15:49:51,3,500,win,3948.05
2025-05-24 15:49:53,3,500,loss,-500
2025-05-24 15:49:55,5,500,pending,0
2025-05-24 15:49:55,5,500,pending,0
2025-05-24 15:49:57,5,500,pending,0
2025-05-24 15:50:03,5,500,loss,-500
2025-05-24 15:50:03,5,500,loss,-500
2025-05-24 15:50:03,5,500,loss,-500
2025-05-24 15:50:06,2,500,pending,0
2025-05-24 15:50:06,2,500,pending,0
2025-05-24 15:50:07,2,500,pending,0
2025-05-24 15:50:14,2,500,loss,-500
2025-05-24 15:50:14,2,500,loss,-500
2025-05-24 15:50:15,2,500,loss,-500
2025-05-24 15:55:21,6,500,pending,0
2025-05-24 15:55:21,6,500,pending,0
2025-05-24 15:55:22,6,500,pending,0
2025-05-24 15:55:29,6,500,loss,-500
2025-05-24 15:55:29,6,500,loss,-500
2025-05-24 15:55:29,6,500,loss,-500
2025-05-24 16:00:38,8,500,pending,0
2025-05-24 16:00:38,8,500,pending,0
2025-05-24 16:00:39,8,500,pending,0
2025-05-24 16:00:45,8,500,loss,-500
2025-05-24 16:00:46,8,500,loss,-500
2025-05-24 16:00:47,8,500,loss,-500
2025-05-24 16:05:54,2,500,pending,0
2025-05-24 16:05:54,2,500,pending,0
2025-05-24 16:05:55,2,500,pending,0
2025-05-24 16:06:03,2,500,loss,-500
2025-05-24 16:06:03,2,500,win,3948.05
2025-05-24 16:06:03,2,500,win,3948.05
2025-05-24 16:11:12,9,500,pending,0
2025-05-24 16:11:12,9,500,pending,0
2025-05-24 16:11:13,9,500,pending,0
2025-05-24 16:11:19,9,500,loss,-500
2025-05-24 16:11:20,9,500,loss,-500
2025-05-24 16:11:21,9,500,loss,-500
2025-05-24 16:11:23,4,500,pending,0
2025-05-24 16:11:23,4,500,pending,0
2025-05-24 16:11:23,4,500,pending,0
2025-05-24 16:11:29,4,500,loss,-500
2025-05-24 16:11:29,4,500,loss,-500
2025-05-24 16:11:31,4,500,loss,-500
2025-05-24 16:16:39,3,500,pending,0
2025-05-24 16:16:39,3,500,pending,0
2025-05-24 16:16:39,3,500,pending,0
2025-05-24 16:16:45,3,500,loss,-500
2025-05-24 16:16:45,3,500,loss,-500
2025-05-24 16:16:47,3,500,loss,-500
2025-05-24 16:21:55,8,500,pending,0
2025-05-24 16:21:55,8,500,pending,0
2025-05-24 16:21:55,8,500,pending,0
2025-05-24 16:22:01,8,500,loss,-500
2025-05-24 16:22:01,8,500,loss,-500
2025-05-24 16:22:03,8,500,loss,-500
2025-05-24 16:27:11,4,500,pending,0
2025-05-24 16:27:11,4,500,pending,0
2025-05-24 16:27:13,4,500,pending,0
2025-05-24 16:27:19,4,500,loss,-500
2025-05-24 16:27:19,4,500,loss,-500
2025-05-24 16:27:19,4,500,loss,-500
2025-05-24 16:32:29,3,500,pending,0
2025-05-24 16:32:29,3,500,pending,0
2025-05-24 16:32:29,3,500,pending,0
2025-05-24 16:32:35,3,500,loss,-500
2025-05-24 16:32:35,3,500,loss,-500
2025-05-24 16:32:37,3,500,loss,-500
2025-05-24 16:37:37,6,500,pending,0
2025-05-24 16:37:45,6,500,loss,-500
2025-05-24 16:42:45,7,500,pending,0
2025-05-24 16:42:53,7,500,loss,-500
2025-05-24 16:47:59,2,500,pending,0
2025-05-24 16:47:59,2,500,pending,0
2025-05-24 16:48:00,2,500,pending,0
2025-05-24 16:48:07,2,500,win,3948.05
2025-05-24 16:48:07,2,500,win,3948.05
2025-05-24 16:48:09,2,500,win,3948.05
2025-05-24 16:48:10,2,500,pending,0
2025-05-24 16:48:10,2,500,pending,0
2025-05-24 16:48:11,2,500,pending,0
2025-05-24 16:48:17,2,500,win,3948.05
2025-05-24 16:48:17,2,500,win,3948.05
2025-05-24 16:48:19,2,500,loss,-500
2025-05-24 16:48:22,1,500,pending,0
2025-05-24 16:48:22,1,500,pending,0
2025-05-24 16:48:22,1,500,pending,0
2025-05-24 16:48:29,1,500,loss,-500
2025-05-24 16:48:29,1,500,loss,-500
2025-05-24 16:48:29,1,500,win,3948.05
2025-05-24 16:48:31,1,500,pending,0
2025-05-24 16:48:31,1,500,pending,0
2025-05-24 16:48:32,1,500,pending,0
2025-05-24 16:48:39,1,500,loss,-500
2025-05-24 16:48:39,1,500,loss,-500
2025-05-24 16:48:39,1,500,loss,-500
2025-05-24 16:48:43,1,500,pending,0
2025-05-24 16:48:43,1,500,pending,0
2025-05-24 16:48:43,1,500,pending,0
2025-05-24 16:48:49,1,500,loss,-500
2025-05-24 16:48:49,1,500,loss,-500
2025-05-24 16:48:51,1,500,loss,-500
2025-05-24 16:53:58,7,500,pending,0
2025-05-24 16:53:58,7,500,pending,0
2025-05-24 16:53:59,7,500,pending,0
2025-05-24 16:54:06,7,500,loss,-500
2025-05-24 16:54:07,7,500,loss,-500
2025-05-24 16:54:07,7,500,loss,-500
2025-05-24 16:59:14,9,500,pending,0
2025-05-24 16:59:14,9,500,pending,0
2025-05-24 16:59:14,9,500,pending,0
2025-05-24 16:59:21,9,500,win,3948.05
2025-05-24 16:59:21,9,500,win,3948.05
2025-05-24 16:59:21,9,500,loss,-500
2025-05-24 16:59:24,6,500,pending,0
2025-05-24 16:59:24,6,500,pending,0
2025-05-24 16:59:25,6,500,pending,0
2025-05-24 16:59:31,6,500,loss,-500
2025-05-24 16:59:31,6,500,loss,-500
2025-05-24 16:59:33,6,500,loss,-500
2025-05-24 16:59:35,1,500,pending,0
2025-05-24 16:59:35,1,500,pending,0
2025-05-24 16:59:36,1,500,pending,0
2025-05-24 16:59:43,1,500,loss,-500
2025-05-24 16:59:43,1,500,loss,-500
2025-05-24 16:59:43,1,500,loss,-500
2025-05-24 17:04:48,7,500,pending,0
2025-05-24 17:04:48,7,500,pending,0
2025-05-24 17:04:49,7,500,pending,0
2025-05-24 17:04:56,7,500,loss,-500
2025-05-24 17:04:56,7,500,loss,-500
2025-05-24 17:04:57,7,500,loss,-500
2025-05-24 17:10:06,8,500,pending,0
2025-05-24 17:10:06,8,500,pending,0
2025-05-24 17:10:07,8,500,pending,0
2025-05-24 17:10:13,8,500,loss,-500
2025-05-24 17:10:15,8,500,loss,-500
2025-05-24 17:15:15,2,500,pending,0
2025-05-24 17:15:23,2,500,loss,-500
2025-05-24 17:20:33,4,500,pending,0
2025-05-24 17:20:33,4,500,pending,0
2025-05-24 17:20:33,4,500,pending,0
2025-05-24 17:20:39,4,500,loss,-500
2025-05-24 17:20:39,4,500,loss,-500
2025-05-24 17:20:41,4,500,loss,-500
2025-05-24 17:25:49,6,500,pending,0
2025-05-24 17:25:49,6,500,pending,0
2025-05-24 17:25:51,6,500,pending,0
2025-05-24 17:25:57,6,500,loss,-500
